Date,Team 1,FT,Team 2
Fri Apr 16 1954,Manchester United,2-0,Charlton Athletic
Fri Apr 16 1954,Preston North End,2-1,Tottenham Hotspur
Fri Apr 16 1954,Chelsea,0-1,Manchester City
Fri Apr 16 1954,Middlesbrough,0-1,Liverpool
Fri Apr 16 1954,Arsenal,3-0,Portsmouth
Fri Apr 16 1954,Bolton Wanderers,0-0,Burnley
Fri Apr 16 1954,Sunderland,2-2,Sheffield United
Fri Apr 16 1954,Newcastle United,3-0,Sheffield Wednesday
Fri Apr 16 1954,Blackpool,4-1,Cardiff City
Sat Apr 17 1954,Manchester United,2-0,Portsmouth
Sat Apr 17 1954,Tottenham Hotspur,2-1,Sheffield United
Sat Apr 17 1954,Liverpool,0-1,Cardiff City
Sat Apr 17 1954,West Bromwich Albion,1-0,Manchester City
Sat Apr 17 1954,Sheffield Wednesday,0-0,Wolverhampton Wanderers
Sat Apr 17 1954,Burnley,2-1,Huddersfield Town
Sat Apr 17 1954,Charlton Athletic,1-1,Aston Villa
Sat Apr 17 1954,Bolton Wanderers,3-2,Blackpool
Sat Apr 17 1954,Newcastle United,5-2,Arsenal
Sat Apr 17 1954,Middlesbrough,0-0,Sunderland
Sat Apr 17 1954,Preston North End,1-0,Chelsea
Mon Apr 19 1954,Sheffield United,1-3,Sunderland
Mon Apr 19 1954,Burnley,1-1,Bolton Wanderers
Mon Apr 19 1954,Manchester City,1-1,Chelsea
Mon Apr 19 1954,Tottenham Hotspur,2-6,Preston North End
Mon Apr 19 1954,West Bromwich Albion,1-1,Aston Villa
